"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Promover cultura de Prevención.,Garantizar profesores de calidad en todos los niveles educativos. ,Apoyos de despensas de buena calidad. ,Promover leyes de inclusión en los diferentes espacios y contextos sociales. ,EDOMEX,21
Hospitales en los municipios aledaños equipados con todos los servicios. ,"Que exista en las escuelas desde educación básica, programa de apoyo psicológico. ",Beca alimenticia para madres solteras.,Brindar educación inicial desde casa y escuela de respeto a todas las diferencias sexuales que prevalecen en la sociedad actual. ,EDOMEX,21
Promover cultura de alimentación sana y balanceada desde los hogares.,Que los profesores tomen cursos de orientación psicológica.,Beca alimenticia para madres solteras.,"Promover talleres a nivel nacional que incentiven el respeto al prójimo, a todos y que fortalezcan la paz. ",EDOMEX,21
Promover cultura de alimentación sana y balanceada desde las escuelas. ,Generar programas de atención especializada con psicólogos psicoterapéuticos profesionales en las escuelas.,Apoyo y seguro social para trabajadoras del hogar. ,"No imponer gustos a los niños y niñas desde pequeños, respetando su inocencia y sin transgredir sus derechos y valores. ",EDOMEX,21
"Para un entorno saludable es imprescindible rescatar lo robado; sus bosques, su ejido, sus áreas verdes, caminos ancestrales, etc. ",Que los planteles de todos los niveles educativos cuenten con un nutriólogo. ,"Prestaciones laborales básicas para trabajadoras del hogar, (vacaciones, seguro, aguinaldo).",,EDOMEX,21
Supervisar suministro de medicamentos.,Que los planteles de todos los niveles educativos cuenten con odontólogo. ,Mas oportunidades laborales a mujeres mayores de 50 años.,,EDOMEX,21
Supervisar suministro y ejercicio del personal de salud. ,Garantizar preparación y actualización constante para todos los maestros. ,Mayores oportunidades laborales para madres solteras con salario justo.,,EDOMEX,21
Garantizar personal médico suficiente y capacitado.,Defender e imponer nuestro modelo educativo mexicano. ,Mayores oportunidades laborales para madres solteras sin que exista oportunidad de abuso y discriminación.,,EDOMEX,21
Garantizar instalaciones e infraestructura.,Regular el marco jurídico de las asociaciones de padres de familia y sostener la rendición de cuentas en los recursos económicos aportaos por los padres de familia. ,Atender la violencia de género real. ,,EDOMEX,21
Garantizar equipo físico y medicamentos en unidades médicas. ,Buscar alternativas para que las escuelas públicas soliciten menos cuotas. ,Derecho a la justicia para las mujeres desde la infancia.,,EDOMEX,21
Supervisar servicio médico de enfermeras y doctores. ,Apoyo económico y medico para los niños. ,Incentivar herramientas de empoderamiento a las mujeres. ,,EDOMEX,21
Mejores salarios a doctores. ,Proponer una alternativa de ley donde personas que no tienen conocimiento en educación prohiban la distribución de material educativo que realmente va en pro de una mejor sociedad. ,Remuneración económica para amas de casa.,,EDOMEX,21
Mejores salarios a doctores de planta. ,Mejores salarios a los profesores de todos los niveles. ,Oportunidades laborales a mujeres desempleadas.,,EDOMEX,21
Que existan hospitales de especialidades en las regiones aledañas.,Castigo a quien atente contra la educación.,Línea de apoyo de personal profesional  en atención a la violencia de género para atender a mujeres violentadas en el Estado de México. ,,EDOMEX,21
Supervisar trato a las personas por parte del personal médico. ,Supervisar oportunidades de desvío de recurso destinado a la educación.,Apoyo económico a mujeres que trabajan y estudian al mismo tiempo.,,EDOMEX,21
Eficientar el tiempo de espera para la atención médica en instituciones de salud. ,Implementar el inglés como lengua básica desde el preescolar. ,Que mujeres y hombres sean tomados como iguales en condiciones laborales. ,,EDOMEX,21
Reformar y fomentar tratamientos alternativos. ,Que regresen los libros para iniciar clases ,Que las mujeres que trabajan tengan en donde dejar a sus hijos.,,EDOMEX,21
Cuidar el presupuesto.,Ampliar el catálogo de universidades que puedan recibir la beca de jóvenes construyendo el futuro. ,Apoyo a abuelitas que realizan labor de cuidado a los hijos de las madres que tienen que salir a trabajar.,,EDOMEX,21
Campañas de prevención de salud para reducir gasto a futuro. ,Que los profesores ejerzan una praxis de la práctica docente. ,Apoyo a mujeres que realizan labores de cuidado sin remuneración. ,,EDOMEX,21
Proveer a familias de escasos recursos con medicamentos gratuitos.,"Promover esfuerzo conjunto con plantel o escuela, maestros y familia en todos los planteles. ",Promover cultura de igualdad de tareas domésticas para hombres y mujeres. ,,EDOMEX,21
Se sugiere prohibir en las tiendas el abastecimiento de alimentos chatarra y nocivos para la salud. ,Mayor apoyo a escuelas públicas. ,Apoyo e incentivo a mujeres que estudien posgrados académicos en la ciencia. ,,EDOMEX,21
Auditoría al ISSEMYM del Edo.Méx. ,Que desde la educación básica los alumnos tengan acceso a un psicólogo. ,Promover la creación de centros de atención psicológica.,,EDOMEX,21
Supervisar informes financieros del ejercicio de recursos en el ISSEMYM.,Que desde la educación básica los alumnos tengan acceso a un nutriólogo. ,Mas oportunidades laborales a mujeres mayores de 40 años.,,EDOMEX,21
Promover y proteger el sistema de pensiones del ISSEMYM: pensionados y jubilados. ,Que el recurso destinado a las escuelas sea realmente ejercido en ellas. ,Apoyo  jefas de familia.,,EDOMEX,21
Contratar médicos totalmente preparados. ,Exigir que en las aulas de clases no se permitan mas de 20 alumnos para garantizar un correcto aprendizaje. ,Garantizar condiciones de seguridad para que las mujeres puedan salir y regresa a sus casas sanas y salvas. ,,EDOMEX,21
Promover creación de centros de especialidades y de Rayos x.,Que los planes de Estudio desde educación básica incluyan nuestras lenguas originarias.,Promover talleres comunitarios para aprender del autocuidado de las mujeres. ,,EDOMEX,21
Mejores salarios para todo el personal de salud. ,Revisar contratos de profesores.,Promover talleres comunitarios para aprender del cuidado de los hijos.,,EDOMEX,21
Mejor y abastecer instalaciones de centros de salud. ,Revisar situación de profesores egresados sin oportunidad de trabajo. ,Que las mujeres tengan derecho a decidir como pensar. ,,EDOMEX,21
Supervisar eficacia de los servicios de salud en instituciones públicas.,Revisar situación de profesores o directivos con doble base o diversas escuelas. ,Que las mujeres tengan derecho a decidir cuando y como tener hijos. ,,EDOMEX,21
Supervisar condiciones e infraestructura en instituciones de salud.,Promover la creación de grupos de apoyo especializado en ayudar a los niños con problemas socioemocionales y familiares.,Medios de transporte con espacios exclusivos para mujeres. ,,EDOMEX,21
Supervisar situaciones de abuso. ,Contratar en las escuelas a especialistas en problemas psicológicos. ,"Apoyo psicológico a mujeres abusadas, violentadas, etc. ",,EDOMEX,21
Brindar una buena información respecto a daños y repercusiones del consumo de ciertos alimentos.,Crear mas alternativas de universidades públicas.,Promover la creación de espacios seguros para mujeres violentadas o en situación de violencia. ,,EDOMEX,21
Promover campañas informativas en torno a los daños del consumo de harinas.,Respetar y transparentar el número de becas asignadas a cada plantel educativo. ,Mayor apoyo legal para mujeres. ,,EDOMEX,21
Promover campañas informativas en torno a los daños del consumo de azúcares.,Promover una ley que prohíba intervenir a quienes no son competentes en materia educativa. ,Apoyar a mujeres de la tercera edad para una vida digna y de calidad. ,,EDOMEX,21
Promover campañas informativas en torno a los daños del consumo de comida chatarra.,Implementar idiomas en todos los niveles educativos. ,Que en la ley existan prestaciones para las mujeres que maternan responsablemente. ,,EDOMEX,21
Promover campañas informativas en torno a los daños del consumo del alcohol.,Escuela para padres es fundamental para los alumnos en su interés para ser capacitados. ,Promover espacios de formación en torno a perspectiva de género y deconstrucción.,,EDOMEX,21
Promover campañas informativas en torno a los daños del consumo de aceites vegetales. ,"Que las becas sean otorgados a todos, no únicamente a los que se incluyan en las reglas de operación de los programas educativos. ",Promover los espacios laborales y públicos para mujeres en los ayuntamientos y administraciones municipales. ,,EDOMEX,21
Supervisar situación de seguros y atención médica para militares. ,Aumentar sueldo significativo a los maestros frente al grupo principalmente. ,"Atención mayormente amplia para mujeres, como servicios de ginecología, jornadas laborales justas y bien remuneradas. ",,EDOMEX,21
Supervisar problemática de reventa de medicamentos gratuitos. ,Fortalecer escuela  para padres. ,Educación en casa para fomentar el valor de las mujeres en ellas mismas.,,EDOMEX,21
Exigir que todo el personal médico cuente con actualización constante de conocimiento científico Verificación y cursos de actualización al sector médico. ,Aplicar amonestación a los que utilicen recursos de manera inadecuada. ,Respeto para las mujeres en todos los espacios. ,,EDOMEX,21
Que los tres niveles de riesgo cuenten con instalaciones adecuadas. ,Que se incluyan en las escuelas áreas de psicológica para apoyar a tratar todos los aspectos que vulnerabilidad a los estudiantes y les impiden aprender y desarrollarse adecuadamente. ,"Promover campañas desde las instituciones, de superación personal y consciencia sobre su valor. ",,EDOMEX,21
Que los medicamentos de mayor necesidad contemplen los de discapacidad. ,Educación para los padres y madres en crianza. ,Promover talleres comunitarios de autoempleo.,,EDOMEX,21
Promover mayor servicio de ambulancias gratuito. ,Garantizar condiciones de seguridad en la entrada y salida de los planteles de todos los niveles educativos.,,,EDOMEX,21
"Brindar alimentos orgánicos en los desayunos escolares, asegurando productos que no están contaminados de elementos tóxicos y transgénicos. ",Supervisar cumplimiento de las funciones respectivas en los sindicatos de profesores. ,,,EDOMEX,21
Ampliar herramientas médicas de hospitales cercanos para evitar traslados lejanos.,Erradicar situación de privilegio con algunos docentes en los sindicatos. ,,,EDOMEX,21
Contratar mas personal médico en todas las áreas. ,Volver a abrir bibliotecas públicas.,,,EDOMEX,21
Que no exista el fuero.,Generar herramientas que erradiquen conductas de violencia y bullyng a estudiantes de comunidad LGBTIQ+ en todos los niveles educativos.,,,EDOMEX,21
"Si el personal médico incurre en algún delito, ser removidos. ",Apoyo para listas de útiles escolares excesivas y costosas. ,,,EDOMEX,21
Que no exista desvío de medicamentos.,Promover herramientas de educación cultural e integral en todos los niveles educativos.,,,EDOMEX,21
"Checar dinámica de ""fichas"" en instituciones públicas al ser siempre insuficientes. ",Supervisar irregularidades en escuelas particulares. ,,,EDOMEX,21
Erradicar uso de pesticidas.,Maximizar oportunidades laborales a recién egresados de las universidades. ,,,EDOMEX,21
Constar con instalaciones optimas en hospitales y centros de salud. ,Que se implemente inglés y computación desde educación nivel básico. ,,,EDOMEX,21
Evakuación de los mejores perfiles para laborar en el sector de salud. ,Apoyo económico para uniformes escolares. ,,,EDOMEX,21
Promover mesas de supervisión locales en trabaj conjunto con el gobierno. ,Integrar mayormente el arte en todos los niveles de educación. ,,,EDOMEX,21
Que los medicamentos se surtan en tiempo y forma. ,Dar seguimiento a programas de educación inicial. ,,,EDOMEX,21
Que los medicamentos se surtan con buena calidad. ,Sistemas de vigilancia en todos los planteles educativos. ,,,EDOMEX,21
Castigar robo de medicamentos. ,Examen de evaluación al profesorado. ,,,EDOMEX,21
Atender políticas preventivas de salud antes que correctivas. ,Promover talleres de higiene personal desde educación de nivel básico. ,,,EDOMEX,21
Promover creación de hospitales de 1° nivel cercanos a municipios aledaños. ,,,,EDOMEX,21
Promover creación de hospitales de 2° nivel cercanos a municipios aledaños. ,,,,EDOMEX,21
Promover creación de hospitales de 3° nivel cercanos a municipios aledaños. ,,,,EDOMEX,21
"Promover creación de hospitales de 1°, 2° y 3° nivel cercanos a municipios aledaños. ",,,,EDOMEX,21
"Procurar atención a embarazadas desde las consultas prenatales, parto y puerperio. ",,,,EDOMEX,21
Promover el uso obligatorio de abonos orgánicos para contar con alimentos mas saludables. ,,,,EDOMEX,21
Promover enfoque intercultural en la obtención de los servicios de salud. ,,,,EDOMEX,21
Jornadas laborales dignas y justas para todo el personal del sector de salud. ,,,,EDOMEX,21
Regresar a los abonos naturales. ,,,,EDOMEX,21
Qué siga el proyecto de qué el gobierno compre medicamentos a la india,Fomentar la lectura y sobre todo el razonamiento antes que el adoctrinamiento,Implementar un plan de información sobre la violencia de género para dejar de normalizar la violencia y dar atención más eficaz y precisas a las víctimas de violencia de género,Libres de actuar,EDOMEX,22
 Qué todo vaya cómo va mejorando al país,Hace falta más universidad aquí en Naucalpan,Hay que darle la oportunidad a la mujer para que trabaje y no hay que humillarla,Integración a la vida diaria en la educación la enseñanza de estos temas para evitar la discriminación y hacer y difundir métodos de información para la comprensión de estos cambios en nuestra sociedad,EDOMEX,22
Debe de haber más cultura en la salud para que la gente se haga chequeos por lo menos una vez al año y a su vez tener una clínica especial para ello,Reforzar la educación vocacional desde la primaria ,Qué vivan las mujeres salario para amas de casa equidad en todo,Revisión minuciosa a las instituciones que nos impuso la inquisición la escuela y el matrimonio lenguaje familia etc. familia quiere decir grupo de esclavos,EDOMEX,22
Qué se garantice a toda la población un servicio digno y consigo una mejora al servicio de personal médico y control con su respectivo medicamento de primer segundo y tercer nivel,Escuelas de tiempo completo y desayunos y también supervisar las cooperativas para que se fomenta el progreso crítico,￼ se requiere reducir jornada laboral a 36 horas por semana y hacer el diagnóstico que genera la violencia en cada familia,Las mujeres no se deben discriminar en estos tiempos las mujeres como los hombres ya somos iguales,EDOMEX,22
Y que los del sector salud tengan la capacidad de atender de buena manera al derechohabiente porque luego son muy prepotente si se creen dueños de los hospitales,cobran mucho de inscripciones,Derechos de igualdad y más seguridad para ellas,Respeto a cada persona a la preferencia amorosa sexual sin prejuicios Morales y educación para conocerse uno mismo y dejar de hacer caso a las religiones,EDOMEX,22
Abrir de nuevo el seguro popular,Cobran muy caro las inscripciones,Qué tomen terapia todos los hombres que ellos se metan en la cabeza que hombres y mujeres son iguales a las mujeres tienen que valorar las más y no depender de nadie llámese hijos o esposos mamá o papás,Todo esto es sagrado porque esto es la felicidad debemos respetar y darle su importancia,EDOMEX,22
Contratar más médicos y enfermeras preparados para dar mejor atención a los derechohabientes viva morena,La educación no puede ser firmemente constituida si los niños y las niñas no cuentan con las condiciones materiales para asistir primordialmente a la escuela y tener alimentación escolar también es importante,Es importante que las mujeres poco a poco logren más servicios de seguridad,Respecto a la inclusión,EDOMEX,22
Menos burocracia y más especialidades médicas y uso de la medicina tradicional como la herbolaria y la medicina holística que es integral y sacar la comida chatarra que todos cuenten con atención médica,La educación debe de ser como siempre como dijo Benito Juárez debe ser gratuita no parar a hacer negocio,Aumentar los salarios,A quien se siente diferente de su sexo debe ser tratado con respeto la educación debe ser para ellos y después para todos,EDOMEX,22
Implementación de alimentos en escuelas y la importancia de educación física diaria y una hora por lo menos,Desaparecer las escuelas de tiempo completo y contar con enseñanzas lucidas de kinder primaria secundaria y fomentar el cooperativismo y mejorar las instalaciones educativas,Mi propuesta es que abran más guarderías para madres que trabajan gratuitas,Mayor apoyo a jóvenes para tener centros de atención y sobre dichas teorías,EDOMEX,22
Qué los seguros cubran enfermedades crónicas y abastecimiento de medicamentos también más investigación en medicina natural,Qué hay en libros de texto gratuitos y hacer programas para la lectura de la Constitución,Estancias infantiles y aumentar las cámaras de seguridad en colonias de mayor Feminisidios y más estudios de género,En la sociedad debemos ser tolerantes simpáticos y más bien aprender a ser verdaderamente humanos,EDOMEX,22
Atender la falta de medicamentos en algunos hospitales y las citas de atención médica que no sean tan lejanas en cuestión de tiempo,Me gusta mucho el proyecto de enseñarnos a leer o fomentar la lectura gracias,Educar para respetar las mujeres debemos de entender que tenemos igualdad con los hombres y lo debemos enseñar a nuestros hijos varones,Sé que uno se viste como quiere pero propongo que la mujer cuando anda en la calle no se vista provocativa y el hombre y la mujer respetarse mutuamente y ser sinceros no engañarse,EDOMEX,22
Evitar el robo hormiga de medicamentos por parte del personal de los hospitales y clínicas ,Reactivar la formación cívica y que la educación sea dinámica no repetitiva y valorar a nuestros profesores que les den un aumento salarial,Mejorar recursos,No a la diversidad de género sólo mujer y hombre de acuerdo a la creación de Dios hombre y mujer,EDOMEX,22
Mejorar el primer nivel de atención a fin de decir de la medicina preventiva la mejor solución de la salud de la población y asimismo incorporar en los servicios de salud los conocimientos prácticas y personal de la medicina tradicional,Tener más opciones y más universidades para todos aquellos que no tuvieron la posibilidad de estudiar,Está bien que es la cuatro se preocupe por las mujeres transformándolos porque ellos también pueden trabajar como los hombres también pueden ser gobernadoras o presidentes con libertad,Educación cívica comienza desde casa y esto sólo sería un refuerzo en colegio,EDOMEX,22
Yo propongo que se ponga una oficina que reciba que las personas mejor en la atención el IMSS hasta tres meses por una cita,Más educación,La justicia para las mujeres empieza desde el lugar y ellas deben de fomentar la educación,Regresar a la identidad real de género respetando no promoviendo,EDOMEX,22
Contratar más médicos y enfermeras y darles un curso de capacitación tanto profesional como humanitario para el paciente y vigilar constantemente que no falten los medicamentos básicos para enfermedades crónicas pues en el LINS los servicios son nuestras cuotas de nuestro trabajo,La educación se fomenta en los padres de familia,Educar igual a hombres y mujeres,Tanto la comunidad como nosotros debemos respetar la comunidad de igual forma deben respetar si deseo o no incluirlos,EDOMEX,22
Promover la medicina tradicional,￼ Que haya más apoyo educativo y que les den alimentos en las escuelas de tiempo completo,Cada persona tiene que cuidar su rol en la sociedad proveedor hombres y en el hogar las mujeres,Seguir fomentando el aprendizaje de la inclusión igualdad mediante la cultura obras de teatro y cursos en las escuelas talleres implementar una línea de apoyo psicológico de 24 horas,EDOMEX,22
La igualdad y los servicios garantizan el bienestar con estos proyectos viviremos mejor,Lectura es primordial para el desarrollo educativo fomentar la cultura de la lectura,El derecho a la igualdad en el trabajo en casa y en la sociedad porque los tiempos deben de cambiar,No confundir Libertad con libertinaje libertad de elección de gustos etc. pero no influir en los demás,EDOMEX,22
Mejor servicio médico y que los hospitales de LINS no falten los medicamentos,Que haya más universidades para que los jóvenes no se queden sin escuela y no haya alcoholismo y drogadicción en personas tan chicas gracias,Qué Naucalpan quiten a las policías corruptos que ya se dedican a robar a Naucalpan y que haya seguridad a la mujer,Nunca se debieron de incorporar cada quien con su género pero son muy vulgares y no tienen respeto es común pero no es normal y por lo tanto estoy en contra,EDOMEX,22
Qué en las escuelas tengan más espacios para hacer ejercicio fútbol o básquetbol y carreras para que bajen un poco el nivel de obesidad y se fomenta el ejercicio,Poner más atención en las escuelas para una mejor captación de aprendizaje,Que las mujeres amas de casa se genere un pago porque contribuyen de alguna forma para que el trabajador se desarrolle para su fuerza de trabajo,Fomentar el respeto de esa manera va a ayudar y ayudar psicológicamente a ellos para aceptarse.,EDOMEX,22
Naucalpan hace falta otro hospital ya que el que está no se da abasto por la sobrepoblación que tiene,Seguir fomentando el proceso de aprender a aprender y erradicar el método de enseñanza aprendizaje,La equidad es justicia debe de haber más recursos ,.,EDOMEX,22
Yo propongo que todas las instituciones de salud nunca desaparezcan y también hay robo de medicamentos y esos son los que trabajan ahí se llevan las medicinas,En todos estos proyectos son importantes la igualdad y la lectura para terminar con estos intermediarios,Implementación de talleres en las colonias de Naucalpan y una escuela de alfabetización para adultos que gusten terminar sus estudios,.,EDOMEX,22
Psiquiatría pediátrica para todos cuando lleguemos,Qué desde casa educamos a nuestros niños es primordial y sólo en la escuela los maestros complementan la educación a los niños gracias por los libros muy bonitos e invitar a la gente a leer,Igualdad esto sólo es en el ámbito humanitario porque si se analiza hombre y mujer no somos iguales justicia social debe ser acorde no es posible ser iguales,.,EDOMEX,22
La atención médica en el sector público es muy mala por parte de los médicos tienen que tener más empatía con el paciente,Sí que siga apoyando a todas las personas de la tercera edad,La justicia desigual a la equidad y al equilibrio Al César Lo que es del César y adiós lo que es de Dios esto es igual a que llegue y se pague lo justo a todas las mujeres por su trabajo,.,EDOMEX,22
Yo sugiero que se supervise al personal de los hospitales porque hay trabajadores que son groseros y disputas y también que respeten los horarios de consulta ,Fomentar la educación y bibliotecas al alcance de los niños,Dar ayuda a las personas que atienden a familiares con discapacidad,.,EDOMEX,22
Respetar los horarios de las citas si te citan a las seis P.M. y tú llegas a tu cita que te pasen y no te hagan esperar y atenderte cuando se les da la gana,￼ emprender un programa de actualización docente potentes y permanentes que faciliten su trabajo asimismo realizar campañas de información masivas a los padres de familia para que comprendan las bondades de la nueva escuela mexicana,"Qué las mujeres tengan conocimiento y no confundan la libertad con el libertinaje, estoy en contra de las geminaseis",.,EDOMEX,22
Con sus medicamentos y estudios para que sean accesibles a todos los niveles y coordinar los tiempos de espera,Qué bueno que cambiaron la educación hay que motivar la lectura,Respuesta rápida atención de las denuncias,.,EDOMEX,22
Sólo como sugerencia que los trabajadores del sector salud o IMSS sean amables con todas las personas porque existen personas muy groseras,.,Bajar los horarios laborales para que pases más tiempo con los hijos,.,EDOMEX,22
Implementar comedores comunitarios con precios de bajo costo y comida saludable y también introducir productos orgánicos abajo costo en nuestras tiendas,.,,,EDOMEX,22
Qué el personal de salud sea humilde y amable con la ciudadanía que estén para servir al pueblo,.,,,EDOMEX,22
Propongo que no exista la discriminación y así todos tengan acceso a los servicios médicos,.,,,EDOMEX,22
Qué siga la gratuidad en los servicios de salud,.,,,EDOMEX,22
Combatir corrupción en los que tienen los hospitales trabajadores secretarias enfermeras de Living y del ISSSTE gracias por combatir la cúpula para los de abajo,.,,,EDOMEX,22
Psiquiatría geriátrica implementar de manera obligatoria el deporte desde el kinder,.,,,EDOMEX,22
Quitar la burocracia fomentar la formación de personal capacitado y atención más efectiva,.,,,EDOMEX,22
Atención psicológica geriátrica para adultos mayores ,.,,,EDOMEX,22
Más seguridad y apoyo a gente vulnerable de bajos recursos,.,,,EDOMEX,22
Tener una especialidad de puros estudios de hombres y mujeres,.,,,EDOMEX,22
Se debe de incrementar el tiempo de ejercicio a nivel escolar mínimo una hora para activar la costumbre de hacer ejercicio para evitar la obesidad,.,,,EDOMEX,22
Implementar la educación deportivas y cómo restaurar y construir más instalaciones deportivas,.,,,EDOMEX,22
"Vigilar siempre el sistema de salud, para evitar desvíos y privatizarlo",Inversión en ciencia y tecnología,Tener buen trabajo y salarios buenos y que den opciones para dejar a los hijos en guarderias,"Tener Respeto, que en la aclle haya respeto. Los niños no pueden ver normal lo que no es, que no los confundan",EDOMEX,23
La salud metal es primordialGarantizar atención médica de calidad con tiempopara evitar futuras complicaciones del paciente,Apoyo a los talentos o mentes avanzadas para seguir con el avance de conocimientos,Implementar justicia ciudadanaProteger a la mujer es importante es el motor de la vida; quien más se preocupa por la familia,Sin comentarios,EDOMEX,23
Integrar de forma que coadyuven las propuestas que se realicen,Implementar en las escuelas atención basada en la salud mental. Inteligencia emocional,Capacitación laboral para las mujeres,Las leyes naturales no pueden ser contrariadas y están fuera de la razón,EDOMEX,23
Prohibir las sustancias tóxicas que están a la venta en todos los comerciosde productos básicos. También incluir la salud bucal,Una mayor comunicación de dialogo e interculturización en la educación,"Oportunidades laborales, apoyos económicos, Programas de capacitación","Revisando los ministerios públicos, para que no se discrimine. ",EDOMEX,23
Salud para todos,Que las becas se ocupen para la superación de cada joven,"Más que justicia, debe ser igualdad","Reelección del sr, Andrés Manuel López Obrador",EDOMEX,23
"En cuestión de Salud, como la mayoría de los males, la prevención es importante. Hacer saber que los neoliberales abandonaron el sector salud","Trabajar en equipo, en coordinación, papás y profesores para tener mejores resultados","Que haya una reestructuración en el sector justicia, donde hay machismo y misoginia",Armonía y respeto,EDOMEX,23
"La alimentación depende de dos factores fundamentales: el campo y el medio ambiente, apoyar más a estos sectores",Ayudar a los jovenes más para que continúen con sus estudios,"Que se respeten sus derechos, que no se denigre sus salario, que sea respetada por todos. Valorar a la mujer","Unidad Famailiar, por eso los seres toman caminos retorcidos, por no tener el amor que buscan en costumbres retorcidas",EDOMEX,23
Garantizar el alimento en el entorno familiar de cada familia,Generalizar el nuevo lenguaje principalmente en los profesores,"Más oportunidades en los puestos políticos, pero que hombres y mujeres estén preparados en los temas a desarrollar en cualquier lugar","No a los homosexuales, se les respeta, pero no promoverlo",EDOMEX,23
"Una mayor información sobre alimentación saludable, ventajas y consecuencias de alimnetos naturales y alimentos transgénicos",Que se den más plazas para los maestros,Censos reales a mujeres. Apoyos para las compañeras,Dar pláticas hacia los jóvenes de sexualidad ya que hay muchas embarazadas,EDOMEX,23
Procurar que las instalaciones establecidas sean acondicionadas para dar un mejor servicio,Crear nuevos espacios para los que terminen la universidad. Hacer estudios previos para dar trabajo,Reformar la ley para garantizar la participación de las mujeres en todos los niveles de gobierno,Todos somos responsables de nuestra propia persona. Cada quien se quiere a si mismo,EDOMEX,23
"Más doctores mejor pagados, más salas de operaciones, más personal del sector salud",Aumentar el presupuesto a la educación,Tomar medidas adecuadas en los caso de abuso como puede ser el trabajo o salario,No a la ideología de género,EDOMEX,23
Aperturar mayores espacios y fortalecer los que ya existen,Que la educación sea para la formación de seres pensantes,"Que como vecinos se vigilen a los representantes, que sean personas de valores y que den resultados para mejorar",Respetara la comunidad LGBTT+,EDOMEX,23
Integrar de forma que coadyuven las propuestas que se realicen,impulsar el mejoramiento de la plataforma en donde se hacen los registros ya que los estudientes no tiene los datos exactos y los trámites no proceden y en consecuencia no tienen su becaa ,Apoyos al campo del Estado para mejorar la economía de mujeres y padres,El valor otorgado comienza en casa. Costumbres y tradiciones sin racismo,EDOMEX,23
Que atiendan bien porque hay robo de recursos,"Que los padres de familia reciban bien los nuevos libros de texto gratuito, Que los profesores cuntinuen con la enseñanza para su formación educativa y humanista",De manera contundente las propuestas de la papeleta,Crear talleres de conciencia de respeto a la diversidad en todos los sentidos para evitar crímenes de odio  que atentan contra la vidad,EDOMEX,23
Necesitamos Humildad y atención para los necesitados,Continuar con la 4T apoyando a los alumnos con becas y con más infraestructura,Que se respetene y mucha vigilancia a las mujeres,"Igualdad a nivel de educación y salud, concientizar en la comunidad LGBTTQ+",EDOMEX,23
Auditorias para las instituciones de salud ISEEMYM. Que los médicos ejerzan su juramento. Que se concluyan los hospitales. Dotar de medicamentos básicos.,"Crear más instituciones educativas de todo nivvel porque hay sobrepoblación, para ya no ir tan lejos, así como diversificar las ofertas educativas ",Más grupos de difusión para abrile los ojos a las mujeres,Respetara a las personas ,EDOMEX,23
Vigilar los centros de salud,"La educación debe ser tripartita, padres, profesores, alumnos","Igualdad psicológica en el país, sin importar los roles de la sociedad",Educar para transformar,EDOMEX,23
Estar en nuevos avances Tecnológicos en medicina,"Meter civismo a nivel primaria, secundaria, perparatoria y universidad",Que las mujeres particiepen en todos los ámbitos,Más información en las escuelas y sociedad sobre este tema,EDOMEX,23
Que no pongan caras negativas a la hora de atender a la gente en las instituciones públicas,"Mayor presupuesto a la educación, seguir revalorizando al magisterio, mejorando su condición laboral y salarial","Más atención a los ministerios publicos y juzgados cívicos. Ya que despues de ser violentadas, se enfrentan a la humillación de las autoridades",Ser respetuosos con la diversidad. Llevar a cabo el amor en todos sentidos,EDOMEX,23
,Aumentar la Educación física,"Comunicación, reeducación, respeto",Apoyarnos unos con los otros ,EDOMEX,23
,Fomentar el amor a la lectura y la investigación,Reconocer que la mujer actua con mayor responsabilidad y sensatez,Normalizar la diversidad y cuestionar las prejuicios de la sociedad,EDOMEX,23
,"Más apoyos para niños,y mas prepas y universidades del bienestar",Reelección del Sr. Andrés Manuel López Obrador,Cimentar las bases de la educación para seguir en la diversiad de género y sexual,EDOMEX,23
,"Aplicar un modelo de educación basado en la curiosidad, experimentación y memorización",Más recursos a las mujeres emprendedoras,Iniciar con una idea de no ser comunidad. Todos debemos incluirnos,EDOMEX,23
,"Que los maestros pongan más atención a los jovenes, que no dejen tareas para llevar a casa",,La reeducación con una premisa de cambio,EDOMEX,23
,Cursos significativos a maestros que se desempeñen en todos los contextos (rural y urbano),,Respetar a cada persona en su género y sin discriminación,EDOMEX,23
,"Aumento de sueldo a docentes, acercaralos a su lugar de trabajo",,"Que se promueva la lectura de la constitución, sobre todo, los artículos 3, 4, 5, 27, 82, 78, 50, 55, 94 y 95. para saber más y combatir el neoliberalismo",EDOMEX,23
,Hacer talleres o materias de lenguas indígenas,,,EDOMEX,23
,Explicarles a los padres de familia las reformas que se hicieron a los libros de texto gratuito y que no tengan dudas,,,EDOMEX,23
,Que las becas sean en general y no se las quiten,,,EDOMEX,23
,Intercambio internacional entre universidades,,,EDOMEX,23
,Mayores oportunidades a los egresadosde escuelas particulares,,,EDOMEX,23
,"Que se aumente el presupuesto a educación, para que no pidan cuota anual voluntaria",,,EDOMEX,23
,Buena educación,,,EDOMEX,23
,Promover la participación de todos para obtener mejores resultados  de formación académica,,,EDOMEX,23
,Una mejor educación,,,EDOMEX,23
,Mejores sueldos para los docentes y mejores prestaciones,,,EDOMEX,23
,"Educar para que cuando estornuden, se tapen la boca",,,EDOMEX,23
