Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
Atender a los enfermos con personas con don de servicio,"Checar que los maestros estén bien preparados para dar clases y comprometidos para impartir conocimiento, las escuelas normal  son para formar  criminales viciosos .","Leyes que propongan igualdad de obligaciones en cuidado y mantenimiento de hijos y de casa. La concepción, Tolalpan",
"que se haga realidad más clínicas y hospitales, que no se quede solo en palabras.",Que se haga realidad no solo palabras,,
"Servicio de calidad y las 24 horas- Estamos en el consultorio y no hay nadie para dar servicio. La concepción, Jolalpan",Apoyar a la juventud a estudiar.,,
Que haya personas atentas y educadas en los centros de salud,"Becas para jóvenes universitarios que les cuesta mantener un promedio alto, pero quieren terminar una carrera para tener un futuro mejor.",,
Hospitales con los servicios necesarios,"Aumentar significativamente los trabajos de docentes , ya que hay instituciones con grupos sin docentes asi como asi como los sueldos .",,
"Contar con medicamentos suficientes para atender enfermedades. Graves y no graves,",Crear formas educativas innovadoras y didácticas para evitar el aburrimiento en los jóvenes .,,
Estimular estrategias de prevención,Becas para nosotros los universitarios para culminar una carrera y en un futuro ser mejores servidores a la nación ,,
Que nunca falten los medicamentos en las farmacias-,Que también hay becas y apoyos,,
Que nunca falten los medicamentos en las farmacias,"Generar en forma obligada la capacitación docente , en aquellos que se niegen a una actualización de metodología se debe hacer acreedor a una sanción",,
Contratar médicos y enfermeras con salario digno y sobre todo con los insumos correspondientes,Que nuestro presidente  AMLO siga adelante sin hacer caso a los contrincantes del PRIAN PRD cuenta con el apoyo y los votos del resto del país viva la 4 T.,,
Implementar huertos escolares para fomentar la buena alimentación e una manera económica,Capacitar a docentes y apoyar a equipos tecnológicos a cada docente desde luego internet 24 hrs La concepción JOLALPAN,,
"Que se haga realidad, no solo palabras",Hay personas que preguntan por las becas de los alumnos porque no han recibido ningún apoyo,,
Comprensión de todos los problemas de los jóvenes,Un psicólogo en cada escuela pública. Para que riente a los alumnos,,
,Tener mínimo una hora diaria de inglés,,
,Crear centros de recreación para que los jóvenes tengan su tiempo ocupado y evitar que caigan en adicciones.,,
,Darles un mejor pago a los profesores para que den mejor desempeño de enseñanza,,
,Que viva la Nueva Escuela Mexicana,,
,"Más becas, más infraestructura, más involucramiento hacia padres, tutores y alumnos. Mejorar el salario de los docentes, erradicar corrupción en sindicatos",,
,Un pueblo culto tendrá las armas para cambiar la sociedad,,
,Cambiar las reformas educativas,,
,Incrementar los comedores en planteles escolares a base de dietas saludables,,
,La educación como eje para erradicar los temas que han sumido por muchos años al país,,
,Erradicar el analfabetismo. La humanidad muere por ignorancia,,
,"Detectar las aptitudes de los niño, no todo es retener información, hay que ver sus habilidades",,
Hospitales tenga la condiciones para atender a las enfermos con calidez humana ,Que las escuelas les den becas a todos los alumnos ,Los mismos derechos para todos hombres y mujeres ,La educación y respeto para todas las personas su diferencia sexual  
Más presupuesto a los hospitales ,Que las escuelas haya trabajos social para detectar los problemas que tenga los chicos ,Apoyo económico y con educación a las mujeres ,"De que se respeten los derechos de la comunidad, Se dé en talleres con psicología y pedilogía para padres y madres y sexualidad "
Mal educación en los niños para mantener una salud incagrada con ejercicio ,Calle escuelas para padres de familias y que puedan analizar la información que contienen los libros de texto gratuitos ,¿Qué es igualdad en el trabajo ,Que se de educación a los niños de los tipos de familias que hay y sobre sexualidad para que sean tolerantes 
Regulación restrictiva del derecho ambiental el alcoholismo con cultura . Destrar atención prioritaria al combate a la drogadicción ,Escuelas para padres escuelas para adultos que a los rectores de las universidades se les pueda ser auditorías con los presupuestos ,Que se garantice el derecho de las mujeres ,Escuela para padres sobre sexualidad 
Promover azoteas  verdes para producir alimentos hortalizas ,Que se retome el civismo a las escuelas ,,Educarnos más en el tema para poder ayudar a las personas 
Capacitar a los trabajadores del sector salud para que atiendan a las personas con respeto ,Reestructuración de las políticas educativas del país ,,Que también las fiscalías sean capacitadas para realizar los protocolos pertinentes con la comunidad  LGBT 
Verificar a los médicos que nos atienden porque algunos dan maltrato y servicio ,Más espacios de educación para personas con discapacidad ,,Que se cree la conciencia de igualdad de género 
Mejor alimentación y promueva el ejercicio ,Que haya psicólogos en las escuelas para los niños para que puedan mejorar su rendimiento y tengan relación a sanas ,,
Que se genere prevención en salud con ejercicios buena alimentación a una vida sin enfermedades ,Mejora los programas de los maestros y el uso de dinámicas para atraer la atención de los alumnos y mejorar las condiciones escolares ,,
Que la alimentación se procura en el hogar y se disminuya el consumo de alimento chatarra ,Que vuelva a ver talleres ,,
Que las instituciones dan los medicamentos y que liberen las patentes para que no están caros los medicamentos ,Escuelas en donde se de información integral ,,
Contar con brigadas en pueblo y colonias especialistas en los temas de salud alimentación y entornos saludables ,"La auditoría las universidades , escuela para padres y que regrese los talleres a las escuelas para los jóvenes ",,
"La salud debe de verse y atenderse de manera integral , incorporar la medicina tradicional a las instituciones de salud ",Preparar mejor a los maestros y que vuelva al talleres a la secundaria ,,
Supervisar la corrupción en los centros de salud ,Que se vigile el recurso que se entrega a los padres de familia hacia las escuelas ,,
Que todos los sistemas de salud se han supervisado a fondo ,Que se educa también en el respeto a la vida animal ,,
Que los medicamentos entreguen los hospitales y que se deje de hacer negocio con ellos ,Que las personas que dan clases sean personas especiales en los temas que tengan conocimientos de los libros ,,
Que se cheque la entrega de medicamentos a los derechohabientes ya que muchas ocasiones no son entregados ,Implementar una materia de salud mental en las escuelas de todos los grados ,,
No vender comida chatarras en las escuelas.  los centros sociales como casas de Cultura ,Programas de concientización para padres ,,
Que se revisen los sistemas de salud porque el IMSS sigue siendo un problema dan citas muy largas y no hay medicamento ,Que se establezcan misiones culturales en las zonas rurales y apoyar a la modernación de las escuelas ,,
También es importante regular los precios de medicamentos para que sean más accesibles ,Que las escuelas haya áreas de Psicología y trabajo social ,,
Establecer un órgano de control para la atención inmediata a urgencias médicas y para situaciones de salud más complicadas vigilar los tiempos de atención ya que se alargan tanto que provocan problemas mayores ,Que se torguen más becas a los universitarios ,,
Incrementar presupuesto a los hospitales generales para atender a las personas ,Pedir a los padres de familia que se involucren en educación de sus hijos de forma activa ,,
Salud universal médicos gratuitos y servicios medicamentos gratuitos ,Implementar talleres efectivos de actualización docentes para los profesores ,,
Promover la alimentación saludable creando hortalizas y granjas escolares ,Programa de fomentar la lectura en las escuelas ,,
Se ha de regular los alimentos chatarras con una reforma  ,Que se den becas a todos los niveles a los jóvenes ,,
Genera una cultura de la buena alimentación y sana ,"Dejar de ver la educación como un negocio coma que la gratuidad de la educación sea hasta el nivel superior , recuperar las universidades estatales que sean realmente públicas ",,
,Que si instituya los desayunos escolares en todas las escuelas ,,
,Que la educación es primordial para el desarrollo de la humanidad atender a los niños ,,
Abastecer conmedicamento escaso,Más universidades y preparatorias,Promover laigualdad entre hombres y mujeres,Buscar mecanismos para informar en el tema de diversidad sexual en los pueblos para que no discrimine y respete a sus distintos.
Cpapacitación para el presonal de salud sea puntual.,Exigir a los profesores tiempo extra para lso niños con dificultades de arendizaje.,Buscar una estrategia para que las mujeres tengan empleo remunerado en cas,Una buena educaión desde casa pero también que las ecuelas fortalezcan en valores.
Capacitación a los médicos para brindar mejor servicio,Exigir la entrega de libros a la población y sis estan en contra que ellos faciliten unos de mejor competencia.,Garantizar que se cumpla la ley en el tema de feminicidios,Respetar la decisión de cada ser humano y que se den espaciós públicos para todos.
Regular la ventas de medicamento.,Apoyo academico con mateiales didácticos,Erradicar ideas discriminatorias hacia las mujeres.,Entender cada expresión sentimientos de cada persona dede el más pequeño hasta el más grande.
Educación para la promoción en la salud,Apoyo económico para el Mejoramiento y equipamiento de centros de computo en especial a comunidades,Más recursos económicos y oportunidades a las mujeres,Primero que se cumpla lo ya propuesto.
Albergues ara los familiares en espera de familiares internados,Que entreguen los libros,Educación liberardora para las mujeres en las escuelas,Respetar la decisión de cada ser humano y que se den espaciós públicos para todos.
Personal capacitado para brindar un mejor servicio público,Partir de las nesecidades de lacomunidades para su aplicación.,Generar progrmas de atención alas mujeres principalmete en las conunidades indígenas,Fortalecer  los valores para que no haya y discriminación.
Disminuir la venta de alimnetos chatarra,Dirigir a los maestros y informar que los maestros no toque dinero de los progrmas sociales.,Generar conciencia de reconocimineto a los trabajos de las mujeres y la responsabilidad en el hogar.,Respetar a todos y fortalecer los valos para la no dscriminación.
Mejor administración de insumos para una mejor ateción médica,Rescatar la lengua matena desde la escuelas y los hablantes naturales sean tutores del resto y se les den becas.,Continuar con la paridad de genero en los municipios y que los sueldos sean dignos. ,Buscar mecanismos para promover los valores de respeto y libertad
Incorporar nuevos elementos para servico de salud con valores para atencion de comunidades indígenas.,Erradicar corruptos de la educación.,Garantizar pleno derecho de justicia para las mujeres adultas mayores.,Respeto a las mujeres
Mayor capacitación al personal de Salud,Exigencia de libros gratuitos ,Menos burocracia para pedir pensión ,Fortalecer los valores como libertad para no ser esclavo de ningún partido
Mayor capacitación al personal de salud e implementar servicios de especialidad,Exigencia de libros gratuitos ,Garantizar la justicia ,Promover el respeto
Promover la capacitación y abastecimineto de medicamentos básicos,Escuelas competitivas  y oportunidades con derecho a la educación.,Generar programas de estudio academico y técnico para amas de casa,Aprender cada padre a educar a sus hijos en este tema sin pena de hablar de este tema.
Promover que los maestros del sistema educativo respeten los horarios de comidad de los alumnos,Capacitación permanente a los docentes que permita identificar los elementos curriculares para fortalecer la 4ta Transformación.,"Promover los valores en la familia y espacios públicos, educar para prevenir.","Promover el respeto a la diversidad, y los valores "
Abastecer insumos suficientes en cada uno de llos centros de salud para brindar servicio de calidad.,Exigencia de entrega de libros gratuitos a los alumnos.,Reducir los años de jubilación.,Promover el análisis para que se comprenda que todos debemos ser valorados y repetados.
Incorporar más personal de salud,Promover una educación critica,Dejar de usar a las mujeres en la política.,Profundizar la discución de este tema en la educación.
Promover que no haya antros,Exigir que lleguen los materiales para las escuelas.,Ayudar a las madres que no les apoye el padre de familia.,Que se cumplan las propuestas.
Más medicmentos y más paersonal de salud.,Buscar la menra de mejorar los contenidos educativos de forma permanente,Grantizar la justicia para las mujeres evitando la corrupción,Promover que se conozca de estos temas de forma pública
Designar doctores de foma permanente en centros de salud,Mejorar el salario de los maestros.,Generar ordenes de cuidado hacia las mujeres con las primeras agresiones y no hasta que casí las esten matando.,Promover los valores dede el hogar y la escuela
Promover que la comunidad mantenga limpio y con buen mantenimiento el centro de salud.,Quese enseñe la lengua materna de forma obligatoria,Garantizar la justicia por abusos sexuales. ,Promover la justicia igualitaria
Producción de alimentos saludables en el campo.,Más escuelas en las comunidades,Apoyo a madres solteras,Respeto a todos pero no promover que se junten mujeres con mujeres y hombres con hombres ya que cada quien tienen un sexo para lo cual fue creado.
Evitar el consumo de refrescos,Cumplir con becas para todos.,Valorar el trabajo de la mujer ,Justicia igualitaria.
Dotar de medicamentos insumos y aparatos hospitales y clinicas.,Quesean constante los cambios de editoriales para que no haya monopolio,"Terapias para las mujeres gratis, yoga zumba etc.",Promover valores como la diversidad y  la justicia
Promover el uso de medicina tradicional,Mejorara la formación de maestros,Más seguridad para las mujeres,Conscientizar a la población dede todas sus instituciones para que se reconozca la comunidad LGBT Y MÁS.
"Que la atención medica sea bueno, roducto devocación y capacitación.",Exigencia de la entrega de libros de texto gratuito.,Gatantizar justicia por abusos sexuales,Baños exclusivos para ellos para que no sean agredidos 
Promover alimentación con productos nutricionales.,Crear redes de apoyo entre escuelas y empresa para crear un fondo de empleo para egresados de carreras tecnicas.,Implemenetar mecanismos para elecccion de trabajadores de forma imparcial de acuerdo a las capacidades.,Programas para generar su reconocimiento de los que dicen muchos que no son normales.
Que se encuentren medicamentos sufcicientes para enfermedades cónicas y las provocadas por el alcohol,Exigencia de la entrega de libros de texto gratuito.,Que trabajen menos años para poder jubilarse ya que cudan a la familia.,Promover lugares y espacios de trabajo para ellos.
Prohivir chatarras en las escuelas.,Exigencia de la entrega de libros de texto gratuito.,Castigar a las mujeres maltratadoras de mujeres aunque sean las mismas mujeres.,Ppromover programas para que la comunidad LGBTQ tenga trabajo
Fortalecer los hospitales y centros de salud con mejor infraestructura.,Que las becas se den de acuerdoa los promedios,Apoyos para amas de casa,Educar y orientar en estos temas para que se traten con respeto.
Atención médica que no sea despota,Exigencia de la entrega de libros de texto gratuito.,Trabajos para amas de casa para apoyar a su pareja en lo económico.,Promover la educación y formación para la diversidad y no discriminación
Atención médica que no sea despota,Brindar nombramieto a directores en multigrado y darles sus insentivos ,Aumentar los centros de ayuda para contrarestar la violencia contra la mujer.,
Atención médica que no sea despota puede evaluarse la calidad del servicio para removerlos,Colegiaturas deducible de impuestos en toos los niveles.,Garantizar la valoración de su trabajo con remuneración igualitaria entre hombres.,
Atención médica que no sea despota puede evaluarse la calidad del servicio para removerlos,Más becas por promedio,Las mujeres tienen dereceho a trabajar y la remuneración económica justa y el estado de garantizarlo.,
"Atención cuando la genete este enferma, no cuando el médico lo decida.",Becas para el extranjero, Empleos remunerados de forma igualitaria a los hombres,
Eqipar a los hapitales y mayor preparación y capacitación de atencian del servicio médico,Exigencia de entrega de libros gratuitos a los alumnos.,Programas sociales para las mujeres.,
Eqipar a los hapitales y mayor preparación y capacitación de atencian del servicio médico,Exigencia de entrega de libros gratuitos a los alumnos.,Promover seguro a las mujeres. ,
"Supervisar centros de salud, que cuenten con clave y médicos.",Que los directivos no manejen recurso poruqe muchas veces se lo roban.,Mejorar los salarios a las mujeres. ,
Centro de acopio de medicamentos y apostales a la farmacia nacional para que haya medicamentos.,Atecnción a los alumnos de nesecidades especiales y disminuir la burocracia.,Oportunidades de emprender proyectos a las mujeres y capacitarlas para obteener ingresos,
Doctores de planta a las comunidades,"Educación humana, critico  y científico.",Garantizar justicia para las mujeres,
Mejorar el servicio y atención medico con capacitación,  Libros y útiles gratuitos,Garantizar el cumplimiento de estas propuesta.,
Albergues ara los familiares en espera de familiares internados,Maestros capacitados desde la edad incial hasta universidad.,Talleres comunitarios mixtos y capacitación para obtener recursos,
Supervisión de ccentros de salud de acuerrdo a los reglamentos to vez que no se da buen servicio y con respeto.,Aumentar la generación de infromación que se presenta a los educandos,Fácilitar el acceso a políticas públicas para mujeres.,
Mejorar el salario de médicos,Mejor sueldo para los maestros,Promover la justicia para hombres y mujeres.,
Dotar al centro de salud e insumos de mejor calidad,Garantizar una educación digna para todos y todos.,Apoyo universal a mujeres de 18 a 64 años sin distinción ,
"No construir más hospitales, fortalecer los que ya existen",Promover la edicación de acuerdo a su nivel de desarrollo cognitivo.,,
Capacitación a los médicos para brindar mejor servicio,Edcación de calidad hasta la preparatoria laica y gratuita.,,
"Que el personal no sea despota, supervisar.",Implementar un plan educativo para que los alumnos sean indepecndientes y emprendedores.,,
"Reforzar elsistema de salud, ambulancias y especialistas en las comunidades como pediatría ginecología y general.",apoyos a las escuelas,,
Dotar de medicamentos insumos y aparatos hospitales y clinicas.,Universidades que promuevan una preparación académica de mejor nivel,,
En el sectror salud incluir educación.,Exigencia de los libros de tecto gratiuto.,,
Cumpli con personal de salud para todos los centros de salud.,Exigencia de los libros de tecto gratiuto.,,
Regular la venta de alimentos chatarras y alcohol.,Universidades que promuevan una preparación académica de mejor nivel,,
Implementar la atención de procesos con el IMMS ya que es el peor en el sistema de salud.,Exigencia de los libros de tecto gratiuto.,,
Promover el fortalecimiento de hospitales locales existentes para mejorar los servicios.,"Tranformar a la educación, no educarse a la antigua.",,
Capacitación en los centros de salud y ensearles a producir los alimentos.,Exigencia de los libros de texto gratiuto.,,
Promover la buena alimentación desde los medios.,Exigencia de los libros de texto gratiuto.,,
suficientes doctores.,Aumentar significativamente el recurso para la educación para invertir más en infraestructura.,,
Medicamentos enfermeras y doctors en comunidades lejanas.,Mejora de condiciones laborales de los maestros,,
Doctores  mejor capacitados,Brindar becas a personas que realmente lo requieran ,,
Cumplir con las propuestas ya manifestadas en las boletas,Exigencia de los libros de texto gratiuto.,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",Exigencia de los libros de texto gratiuto.,,
Regular el sistema de salud porque cobran lo que quieren,Respeto irrestricto a la constitución para ofrecer educación de calidad laica y gratuita.,,
Supervisión de los estableciminetos para que esten limpios y seguros.,No polítizar la educación,,
Mas atención a los publos originarios,Más programas de apoyo para los alumnos,,
Centro de salud equipado especiala los pueblos mazahuas.,Cumpli con las propuestas que se han escrito,,
Mejor atención a los adultos mayores ,Apoyo con material educativo a las escuelas.,,
Reforzar la educación también a los adultos para promover la buena alimentación y la salud. ,Becas especiales para indígenas y discapacitados,,
Crear un Sistema general de Salud que garantice la atención de las principales enfermedades.,Garantizar el respeto a los derechos humanos de los alumnos.,,
Que cada hospital tenga su farmacia con medicamentos en buen estado.,Exigencia de entrega de libros gratuitos a los alumnos. Los hijos de los aopositores van a las escueas privadas. ,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",Supervisión de la aplicación de la educación de calidad.,,
Supervisar y establecer controles de la indistria farmaceutica para evitar abusos.,Prohibir alimentos chatarra,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",Promover foros para que los alumnos participen en el tema educativo de forma que también opinen lo que quieren aprender.,,
Laboratorios públicos para hacer los estudiso médicos ,Exigencia de la entrega de libros de texto gratuito.,,
Cumpli con personal de salud para todos los centros de salud.,Incluir escuelas para padres para llevar a cabo el nuevo plan educativo.,,
Regular la venta de alimentos chatarras y alcohol.,Continuar con los apoyos como hasta el momento,,
Implementar la atención de procesos con el IMMS ya que es el peor en el sistema de salud.,Exigencia de la entrega de libros de texto gratuito.,,
Promover el fortalecimiento de hospitales locales existentes para mejorar los servicios.,Continuar con la política que inicio Andres Manuel López Obrador,,
Capacitación en los centros de salud y ensearles a producir los alimentos.,Educación profesional obligatoria,,
Promover la buena alimentación desde los medios.,Transporte gratuito para estudiantes.,,
suficientes doctores.,Continuidad en la entrega de libros de textos gratuito,,
Medicamentos enfermeras y doctors en comunidades lejanas.,Exigencia de entrega de libros de texto gratuitos,,
Doctores  mejor capacitados,Exigencia de entrega de libros de texto gratuitos,,
Cumplir con las propuestas ya manifestadas en las boletas,Exigencia de entrega de libros de texto gratuitos,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",Exigencia de entrega de libros de texto gratuitos,,
Regular el sistema de salud porque cobran lo que quieren,Mprender acciones para que haya igualdad de genero.,,
Supervisión de los estableciminetos para que esten limpios y seguros.,Exigencia de entrega de libros de texto gratuitos,,
Mas atención a los publos originarios,Que las becas se entreguen de acuerdo a las calificaciones porque hay jovenes que no las valoran.,,
Centro de salud equipado especiala los pueblos mazahuas.,Que las becas lleguen en tiempo y forma establecidad para su mejor aprovechamiento.,,
Mejor atención a los adultos mayores ,Dignificar la labor docente con mejores sueldos y otras formas de reconocimiento.,,
Reforzar la educación también a los adultos para promover la buena alimentación y la salud. ,Continuar con la enseñanza de valores,,
Crear un Sistema general de Salud que garantice la atención de las principales enfermedades.,Exigencia de los libros de texto gratiuto.,,
Que cada hospital tenga su farmacia con medicamentos en buen estado.,Más beneficios a los estudiantes,,
Supervisar y establecer controles de la indistria farmaceutica para evitar abusos.,Se promuevan promedios altos para las becas,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",Mejorar la preparación académica de los pedagogos.,,
Laboratorios públicos para hacer los estudiso médicos ,,,
"Garantizar suficientes medicamentos, enfermeras, y médicos.",,,
Médicos especialistas en las comunidades,,,
Más hospitales especializados para los principales problemas de salud en la población mexicana,Crear un órgano que verifique y en su caso audite el mal uso de los apoyos a estudiantes,Nacionalización de las LUNAS (Creación de centros de atención territorial para mujeres en peligro),Más programas de atención en salud para comunidad LGBT+
Programas sociales enfocados a la salud,Creación de instituto para encontrar e impulsar los estudios de niñas y niños prodigio, Cambiar el nombre del DIF y renovar institucionalmente sus mecanismos. Capacitar a su personal en perspectiva de género.,Más apoyo a las trabajadoras sexuales
Vinculación eficaz entre los hospitales a nivel estatal y federal.,Ampliación del apoyo para el INEA,Que los maltratadores de mujeres tengan penas más altas,Campaña de difusión masiva sobre el tema de la diversidad sexual y la importancia del respeto para la democracia
Banco de medicamentos en los que se garantice la entrega de medicamentos que no tengan los hospitales,Incluir conocimiento sobre la diversidad sexual ,Que haya más leyes para visibilizar y castigar el machismo,Clases sobre diversidad sexual e importancia del derecho a la identidad en las escuelas
Elaborar y poner en marcha protocolos de atención medica en los hospitales y centros de salud,Creación de centros culturales comunitarios que impulsen la educación desde la comunidad,Programa de apoyo económico y psicológico a mujeres maltratadas,Llevar especialistas del INFP a comités de zona electoral para orientar sobre el tema de diversidad sexual
Concluir la tarea de hacer de IMSS Bienestar un modelo de atención único,Escuelas para padres de familia,Que haya una profunda reforma con perspectiva de género en el Poder Judicial.,
Que haya un módulo de emergencias en cada centro de salud,"Comedores infantiles en escuela primaria y secundaria que involucren a los más pequeños desde el cultivo, la cocina y el consumo a través de huertos urbanos y cocinas.",Capacitación obligatoria sobre perspectiva de género a todos los policias para que sepan atender casos de violencia hacia las mujeres,
Producción de Farmacias de Bienestar,Música como materia obligatoria desde primaria,"Programa de bienestar ""primero las pobres"" para ayudar a las que menos tienen",
Ampliar la legislación en materia de medicamentos piratas para poder luchar por que no circulen,Impulsar creación de biblitoecas públicas en cada población del país,Programa para la inserción laboral de mujeres discapacitadas,
Programa de estímulo y recompensa al sector salud para que las y los trabajadores sigan los protocolos de salud adecuados y sean recompenzados por ello,Promovión de la danza folclorica,Crear programa de talleres de oficios para mujeres vulneradas,
Actualización nacional de los procedimientos médicos y el equipo ocupado,Que la filosofía clásica a nivel primaria sea materia obligatoria,Platicas de paternidad responsable a padres de familia y jóvenes,
Profundizar la creación de comedores comunitarios nacionales,Regular el cobro de cuotas para evitar cobros ilegales y que un Órgano Auditor realice auditorías a las escuelas que tengan denuncias por irregularidades en esta materia.,,
Mayor difusión sobre los tramites necesarios para acceder a servicios de IMSS Bienestar,Implementación infraestructural para equipo de computación en todas las escuelas,,
Instancia aseguradora del suministro de las medicinas,Seguir y profundizar el programa de desayunos escolares y escuelas de tiempo completo para que la actividad laboral de la familia no impida el acceso a la educación de niñas y niños,,
"Capacitación nacional, ética y humanitaria, para todo el personal de salud",Programa de apoyo para útiles escolares en primaria y secundaria,,
Ampliación de la planta especialista en el Seguro Social,Hacer efectiva la prohibición de venta de comida chatarra en la cercanía de las escuelas primarias y secundarias,,
Que exista un número único de registro a todas las instituciones de salud,Que 5% del espacio urbano sea usado para construir nuevos parques donde se puedan realizar avticidades deportivas con seguridad y dignidad,,
Curso obligatorio de ética para médicos y enfermeras,Mejorar infraestructura de todas las escuelas a nivel nacional ,,
"Hoy que a todos con discapacidad o con una enfermedad crónica, sean tratados con amabilidad. ",Mandar a una persona capacitada con las personas que sus hijos tienen beca para ver si lo necesitan y si está haciendo de inmigrada dicha aportación para la educación del niño. ,Permitir las denuncias aunque no haya sido violencia. ,Platicar del Entendimiento de la diversidad y el respeto. 
Más ayuda para las personas enfermas con discapacidad. ,Gracias por todo su trabajo.,"Más oportunidades de trabajo para las mujeres, más seguridad hacia ellas para evitar abuso sexual y feminicidios. ",Dar pláticas a jóvenes sobre la sexualidad sin la escuela. Se prestan para hablar al aire libre que hagan estas pláticas sobre los temas. 
Que sea más accesible el precio de los medicamentos. ,Proponer a los adultos mayores y padres de familia a participar en la educación del niño. ,Mejores salarios para todas las mujeres. ,"El respeto a la diversidad orientada a la sexualidad, pero preguntar y dar a conocer la mentalidad de cada persona. "
Antes de inventarnos una terapia socialista que sirvan antes para. Disculpar la hueva que han echado. ,Que los maestros ocupen los libros de texto. ,"Darles los mismos sueldos para las mujeres, ayudar en la maternidad y en el trabajo para ser solidarios. ",Proponer. La. Inducción a la no discriminación en las escuelas y áreas de trabajo. 
"Establecer un programa masivo de prevención en las adicciones y para la familia, una salud mental. ","Además de ello, hacer suposiciones en el sector educativo porque hay directores que no aparecen. Y la participación en becas para los alumnos. ",Que la protección de las mujeres contra la violencia no se quede en. Intenciones entre buenas y malas que se les apoye legalmente y se castiga a los culpables. ,Más difusión.  
"Debemos hacer prioridad las cuestiones de salud mental, ya que día con día somos más las personas que padecen alguna enfermedad, para ello necesitamos lugares para donde poderlo ofrecer o tratar. ","Muebles, no butacas. ",Que sigan apoyando a las mujeres en todos los programas y trabajos. ,"Cada quien viva su vida, todos tenemos derecho a vivirla como cada quien quiera, pero cuando sean adultos en plena capacidad para decidir y adelante, no se quiere mal informar a los niños. Que no temen. ¿O tienen alguna situación? "
"Generar más conciencia en la alimentación de las nuevas generaciones, especificando las consecuencias de llevar a cabo una mala alimentación. ",Difundir la historia real de México y erradicar y combatir a los medios de comunicación que someten con una educación neoliberal. ,"Que cuando una mujer es violada y quiere abortar, que se dé permiso para abortar, ya que sería feo tener al bebé de tu violador y te traten. De la verga. ",Que no se discrimine a ninguna persona por cualquier preferencia sexual y haya más información sobre la sexualidad. 
Lo primordial es que haya medicamentos y que vayas al seguro y no hacer filas. ,Se necesita reforzar la educación mediante libros que sí aporten a la enseñanza de los alumnos mediante una un estudio que sea lo que llame la atención. ,Contar con más espacios para promover. La lactancia materna en distintos lugares. ,Que haya más orientaciones a personas y racionales y más ayuda en cuestión laboral para que no haya discriminación y más orientación en el sector salud para que no haya tantas enfermedades sexuales. 
Que se tenga un buen servicio. ,"Incremento de más escuelas a nivel superior, ya que muchos estudiantes quedan sin un lugar al momento de querer realizar sus estudios superiores. ","Además. Las mujeres. Ah, deben de considerar. Un pago por laborar en casa. El cuidado de los hijos, etcétera. ",Más becas. Y más apoyo a los perritos de la calle. 
"Díganle al peje que abastezca de medicamentos a los hospitales de todo lo que roba él y sus pinche Hijos, huevones y ustedes con la vacuna de COVID ",Que haya más becas para las madres solteras que tienen hijos. ,Evitar el machismo. Y apoyar al feminismo menos muertes de mujeres valientes. ,"De acuerdo con todo, sin embargo, no debería inculcar los políticos. La comunidad LGBT más a los menores de edad, la inocencia de los niños no se toca.  "
Que llegue este servicio de salud a todos los centros de salud y a todos los pueblos y vigilar que lleguen todos los servicios. ,"Dame un sentido de la educación en espacios marginados, creación de programas para la educación laica y gratuita. ",Sí quisiera que hubiera mejores sueldos para todas las mujeres. ,Brindar más información a los jóvenes para poder entender el concepto de lo que es LGBT más. 
Que los medicamentos. Respecto a las enfermedades y que sólo por cobrar más y a veces es demasiado. ,Para que las becas sean general y que se les entreguen a las personas. ,Que los padres solteros tengan la oportunidad de poder. Tomar las escuelas de sus hijos. ,Darle oportunidades laborales con mayor remuneración. 
Lo importante es la vigilancia en los adolescentes a través de los centros culturales. Hola que venga. ,Tener más apoyo para los jóvenes estudiantes de transporte. ,"Contribuir más a programas que le permiten a las mujeres progresar como ayudas o beneficios para obtener una vivienda, un negocio o realización personal. ",Más oportunidad para todas y todos en la Comunidad. 
"Y la regiduría paguen con su dinero con sus pinches galletas y sujete café. Pinche, Marrana, Pinche, Coda y ustedes. ","Qué haya más asistencia, demostración. ","Y los jóvenes aprendan a respetar a las personas mayores sin maltratar, sin avergonzarse de acompañarlas a ciertos lugares. ",Reconocer que los LGBT más son personas con derechos y hasta. Abrir. Oportunidades para ellos. 
"Reducción de riesgos y daños en políticas de drogasa, asegurar que las comunidades tengan servicios de salud dignos y con un precio accesible. ",Que ningún niño en todas las condiciones de su vida tenga derecho a la educación sin ningún motivo de vida. ,"Respetar al 100% los derechos, pero sobre todo hacerlos valer y también no dejar a la deriva las irregularidades que se suscitan hoy en día en el núcleo familiar. ",No hacer a podología de la población LGBT más. Para que esto no influye en los niños y niñas respetar los derechos de la población y de la comunidad gay. 
